match_id,home_vote,away_vote
12295837,6,10
12295838,12,8
12295840,4,12
12295842,240,26
12295843,1100,68
12295844,60,258
12295845,124,334
12295846,650,36
12296103,12,36
12296104,0,14
12296105,42,2
12296106,0,0
12296107,2,26
12296108,4,6
12296109,2,2
12296151,26,0
12296152,14,2
12296153,12,24
12296154,54,70
12296155,10,0
12296156,32,44
12296157,8,36
12296158,2,42
12296178,70,16
12296179,84,82
12296180,154,20
12296181,2,146
12296182,6,66
12296183,10,8
12296184,0,36
12296185,0,190
12297018,166,198
12297020,112,6
12297021,24,12
12297022,0,6
12297023,26,104
12297024,40,12
12297025,0,20
12297026,16,36
12297034,60,42
12297159,0,36
12297170,48,68
12297278,192,38
12297336,28,44
12297534,20,48
12297556,66,24
12297559,0,6
12297572,72,124
12297576,100,4
12297589,2,2
12297590,8,16
12297602,26,34
12297618,0,0
12297633,2,152
12297637,90,6
12297638,28,48
12297639,52,36
12297640,6,18
12297641,22,58
12297668,10,38
12297671,84,38
12297674,112,92
12297681,156,20
12297684,6,156
12297685,130,50
12297726,8,10
12297727,12,54
12297740,2,6
12297741,18,36
12297748,50,56
12297768,14,44
12297824,26,16
12297825,56,14
12297826,72,16
12297827,70,60
12297828,18,40
12297842,26,6
12297843,4,100
12297844,8,14
12297878,0,20
12297879,12,4
12297880,0,0
12297881,16,58
12297903,56,4
12297924,28,8
12297964,14,72
12297965,4,56
12297966,72,4
12297967,2,12
12297978,28,68
12297986,16,106
12297990,104,204
12298012,38,6
12298013,12,84
12298014,96,26
12298044,18,4
12298084,154,28
12298086,10,16
12298087,168,56
12298088,12,38
12298097,0,10
12298098,16,14
12298099,16,46
12298100,8,4
12298101,76,22
12298103,6,0
12298149,14,10
12298150,10,42
12298151,42,2
12298152,48,22
12298153,30,18
12298187,16,0
12298211,28,34
12298213,6,22
12298214,46,8
12298215,2,10
12298221,20,66
12298225,0,30
12298245,28,172
12298247,66,0
12298275,10,40
12298276,46,18
12298277,2,32
12298278,0,20
12298279,64,8
12298336,18,8
12298337,30,16
12298341,16,8
12298343,78,48
12298345,0,26
12298371,14,22
12298372,4,14
12298375,18,32
12298376,36,8
12298406,68,4
12298407,8,52
12298410,82,0
12298411,20,96
12298430,60,12
12298434,80,8
12298436,6,44
